id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,productDisplayName,price_inr
31204,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,Casual,Cabarelli Men Brown Accessory Gift Set,2441
29006,Men,Accessories,Bags,Backpacks,Black,Summer,Casual,Cabarelli Men Black Backpack,1584
44016,Men,Personal Care,Bath and Body,Body Wash and Scrub,Silver,Spring,Casual,BOSS Men Selection Shower Gel,1086
41243,Men,Accessories,Belts,Belts,Black,Summer,Casual,Arrow Men Black Belt,1567
14028,Men,Apparel,Bottomwear,Tracksuits,Black,Fall,Casual,Nike Men Solid Black Tracksuits,1999
24645,Men,Accessories,Cufflinks,Cufflinks,Navy Blue,Summer,Formal,Reid & Taylor Men Navy Blue Silk Knot Cufflinks,2669
51663,Men,Accessories,Eyewear,Sunglasses,Green,Winter,Casual,Louis Philippe Men Green Sunglasses,1919
30242,Men,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,Casual,Numero Uno Men Navy Blue Flip Flops,3647
43104,Men,Personal Care,Fragrance,Deodorant,Brown,Spring,Casual,Reebok Men Reemystify Deo,1788
25088,Men,Free Items,Free Gifts,Wallets,Black,Summer,Casual,Lino Perros Men Leather Black Wallet,2820
19442,Men,Accessories,Gloves,Gloves,Black,Summer,Casual,Quiksilver Men Black Octo Gloves,2144
18211,Men,Accessories,Headwear,Caps,Red,Fall,Casual,Manchester United Men Printed Red Cap,1673
13617,Men,Apparel,Innerwear,Innerwear Vests,Black,Summer,Casual,Hanes Men Black V DuoDry Body Fit V-Neck T-shirt,641
48962,Men,Accessories,Jewellery,Ring,Steel,Summer,Casual,Revv Men Steel Ring,1619
41694,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Black,Summer,Casual,Superman Men Black Printed Lounge Pants,3410
13531,Men,Accessories,Mufflers,Mufflers,Black,Fall,Casual,Scullers Red Stripe Muffler,2349
44030,Men,Personal Care,Perfumes,Perfume and Body Mist,Orange,Spring,Casual,dunhill Men Pursuit Perfume,1914
26706,Men,Footwear,Sandal,Sandals,White,Fall,Casual,Nike Men Bennasi Solarsift White Sandals,1650
16012,Men,Accessories,Scarves,Scarves,White,Fall,Casual,Turtle Check Men White Scarf,2646
22233,Men,Accessories,Shoe Accessories,Shoe Accessories,Black,Fall,,Timberland Men Black Shoe Laces,2153
3556,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,Casual,Skechers Men Dark Brown Lifestyle Shoe,3501
56365,Men,Personal Care,Skin Care,Mens Grooming Kit,Gold,Spring,Casual,Baldessarini Men Strictly Private 90 ml After Shave Lotion,1023
18951,Men,Accessories,Socks,Socks,Black,Summer,Casual,Levis Men Full Cushion Crew Pack of 3 Socks,301
12465,Men,Accessories,Stoles,Stoles,Black,Fall,Casual,Basics Men Black Checked Stoles,2266
58891,Men,Accessories,Ties,Ties,Lavender,Summer,Casual,Hakashi Men Lavender Tie,1567
26057,Men,Apparel,Topwear,Shirts,Purple,Summer,Formal,John Miller Men Check Purple Shirt,1590
31188,Men,Accessories,Wallets,Wallets,Black,Summer,Casual,Cabarelli Men Black Wallet,2070
23282,Men,Accessories,Watches,Watches,Off White,Winter,Casual,Maxima Men Off White Dial Watch,5939
1596,Men,Accessories,Water Bottle,Water Bottle,Pink,Fall,Sports,Quechua Easy-to-Carry Pink Sipper,2856
25059,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,Formal,Lino Perros Men Formal Purple Accessory Gift Set,2341
28922,Men,Accessories,Bags,Backpacks,Black,Summer,Casual,Cabarelli Men Black Backpack,2875
38562,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,Nike Men Varsity Black Shorts,1867
59582,Men,Accessories,Cufflinks,Cufflinks,Steel,Summer,Casual,Revv Men Black Cufflinks,1626
28412,Men,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,Idee Men Black Sunglasses,1859
40785,Men,Footwear,Flip Flops,Flip Flops,White,Summer,Casual,Quiksilver Men White Flip Flops,5123
44027,Men,Personal Care,Fragrance,Deodorant,Blue,Spring,Casual,Hugo Boss Men Deo,1154
36763,Men,Free Items,Free Gifts,Free Gifts,Green,Winter,Casual,Maxima Men Green Dial Watch,2669
19544,Men,Accessories,Gloves,Gloves,Green,Fall,Casual,United Colors of Benetton Men Solid Green Gloves,2762
19440,Men,Accessories,Headwear,Caps,Red,Summer,Casual,Quiksilver Men Red Qsacc Cap,1769
15904,Men,Apparel,Innerwear,Briefs,Maroon,Summer,Casual,Facit Men Maroon Comfort Briefs,2923
48958,Men,Accessories,Jewellery,Ring,Steel,Summer,Casual,Revv Men Steel Ring,1369
56266,Men,Apparel,Loungewear and Nightwear,Night suits,Grey,Summer,Casual,SDL by Sweet Dreams Men Grey & Black Pyjama Set,3050
13804,Men,Accessories,Mufflers,Mufflers,Grey,Summer,Casual,Proline Grey Checked Muffler,1661
36710,Men,Accessories,Perfumes,Perfume and Body Mist,Red,Spring,Casual,Ferrari Men Perfume,2586
4647,Men,Footwear,Sandal,Sandals,Blue,Summer,Sports,ADIDAS Men Neo Feather Lead Red Sandal,1585
23468,Men,Accessories,Scarves,Scarves,Brown,Winter,Casual,Lino Perros Men Brown Check Scarf,1792
22232,Men,Accessories,Shoe Accessories,Shoe Accessories,Brown,Fall,,Timberland Men Brown Shoe Laces,1269
12891,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Puma Men Basket Team Mesh White Casual Shoes,2854
57622,Men,Personal Care,Skin Care,Sunscreen,White,Spring,,Lotus Herbals Safe Sun Sunscreen for Men,1410
46866,Men,Accessories,Socks,Socks,Black,Spring,Casual,Lino Perros Men Pack Of Two Socks,295
12463,Men,Accessories,Stoles,Stoles,Blue,Fall,Casual,Basics Men Blue Checked Stoles,1468
18767,Men,Accessories,Ties,Ties,Purple,Summer,Formal,Peter England Men Elite Purple Tie,1696
27590,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,Scullers Men White & Blue T-shirt,786
25098,Men,Accessories,Wallets,Wallets,Brown,Winter,Casual,Lino Perros Men Leather Dark Brown Wallet,1912
46474,Men,Accessories,Watches,Watches,Black,Winter,Casual,Timex Men Black Dial Watch L506,5344
8221,Men,Accessories,Bags,Backpacks,Navy Blue,Winter,Casual,Fastrack Men Navy Blue Backpack,2142
21766,Men,Accessories,Belts,Belts,Brown,Fall,Casual,Fossil Men Marcus Brown Belt,2709
7687,Men,Apparel,Bottomwear,Shorts,White,Fall,Sports,Puma Men's Long Logo Bermuda White Short,1625
14140,Men,Accessories,Cufflinks,Cufflinks,Steel,Fall,Formal,Belmonte Men Bright Assorted Steel Cufflinks,1710
16846,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,Casual,Idee Men Funky Eyewear Brown Sunglasses,1802
18908,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,Casual,ADIDAS Men Adi Linear Blue Flip Flops,4372
